policy,K,action_drop_rate,rep_seed,episode_id,success,steps,questions_asked,regret,team_cost
ask_or_act,3,0.2,3,19,True,9,0,1.0,9.0
ask_or_act,3,0.2,4,0,False,12,1,5.5,12.5
ask_or_act,3,0.2,4,1,True,4,1,1.5,4.5
ask_or_act,3,0.2,4,2,True,8,1,1.5,8.5
ask_or_act,3,0.2,4,3,False,13,0,5.0,13.0
ask_or_act,3,0.2,4,4,True,12,0,2.0,12.0
ask_or_act,3,0.2,4,5,False,10,1,5.5,10.5
ask_or_act,3,0.2,4,6,True,5,1,1.5,5.5
ask_or_act,3,0.2,4,7,True,11,2,4.0,12.0
ask_or_act,3,0.2,4,8,True,12,0,0.0,12.0
ask_or_act,3,0.2,4,9,True,6,1,1.5,6.5
ask_or_act,3,0.2,4,10,True,9,2,6.0,10.0
ask_or_act,3,0.2,4,11,True,7,1,1.5,7.5
ask_or_act,3,0.2,4,12,True,10,0,0.0,10.0
ask_or_act,3,0.2,4,13,True,9,1,2.5,9.5
ask_or_act,3,0.2,4,14,True,11,0,1.0,11.0
ask_or_act,3,0.2,4,15,True,11,1,2.5,11.5
ask_or_act,3,0.2,4,16,True,10,0,0.0,10.0
ask_or_act,3,0.2,4,17,True,3,0,0.0,3.0
ask_or_act,3,0.2,4,18,True,9,1,2.5,9.5
ask_or_act,3,0.2,4,19,True,11,0,1.0,11.0
never_ask,3,0.2,0,0,True,12,0,0.0,12.0
never_ask,3,0.2,0,1,True,3,0,0.0,3.0
never_ask,3,0.2,0,2,True,10,0,0.0,10.0
never_ask,3,0.2,0,3,True,2,0,0.0,2.0
never_ask,3,0.2,0,4,True,5,0,1.0,5.0
never_ask,3,0.2,0,5,True,9,0,1.0,9.0
never_ask,3,0.2,0,6,True,4,0,0.0,4.0
never_ask,3,0.2,0,7,True,13,0,4.0,13.0
never_ask,3,0.2,0,8,False,12,0,5.0,12.0
never_ask,3,0.2,0,9,True,10,0,2.0,10.0
never_ask,3,0.2,0,10,True,4,0,2.0,4.0
never_ask,3,0.2,0,11,False,14,0,5.0,14.0
never_ask,3,0.2,0,12,True,10,0,1.0,10.0
never_ask,3,0.2,0,13,False,14,0,5.0,14.0
never_ask,3,0.2,0,14,True,2,0,0.0,2.0
never_ask,3,0.2,0,15,True,10,0,1.0,10.0
never_ask,3,0.2,0,16,True,8,0,0.0,8.0
never_ask,3,0.2,0,17,True,3,0,0.0,3.0
never_ask,3,0.2,0,18,True,2,0,0.0,2.0
never_ask,3,0.2,0,19,True,11,0,2.0,11.0
never_ask,3,0.2,1,0,True,5,0,0.0,5.0
never_ask,3,0.2,1,1,True,8,0,1.0,8.0
never_ask,3,0.2,1,2,True,10,0,2.0,10.0
never_ask,3,0.2,1,3,True,6,0,0.0,6.0
never_ask,3,0.2,1,4,True,8,0,1.0,8.0
never_ask,3,0.2,1,5,True,10,0,3.0,10.0
never_ask,3,0.2,1,6,True,14,0,4.0,14.0
never_ask,3,0.2,1,7,True,9,0,0.0,9.0
never_ask,3,0.2,1,8,True,6,0,0.0,6.0
never_ask,3,0.2,1,9,True,7,0,0.0,7.0
never_ask,3,0.2,1,10,True,4,0,0.0,4.0
never_ask,3,0.2,1,11,True,12,0,3.0,12.0
never_ask,3,0.2,1,12,True,5,0,1.0,5.0
never_ask,3,0.2,1,13,True,5,0,0.0,5.0
never_ask,3,0.2,1,14,True,7,0,2.0,7.0
never_ask,3,0.2,1,15,True,9,0,0.0,9.0
never_ask,3,0.2,1,16,True,10,0,0.0,10.0
never_ask,3,0.2,1,17,True,10,0,1.0,10.0
never_ask,3,0.2,1,18,False,8,0,5.0,8.0
never_ask,3,0.2,1,19,True,10,0,1.0,10.0
never_ask,3,0.2,2,0,False,11,0,5.0,11.0
never_ask,3,0.2,2,1,True,12,0,5.0,12.0
never_ask,3,0.2,2,2,True,11,0,0.0,11.0
